year,M,F
1880,118400,97604
1881,108282,98855
1882,122031,115695
1883,112477,120059
1884,122739,137586
1885,115945,141949
1886,119041,153735
1887,109315,155422
1888,129906,189447
1889,119033,189219
1890,119701,201661
1891,109265,196567
1892,131453,224913
1893,121040,225232
1894,124893,235972
1895,126644,247106
1896,129071,251993
1897,121942,248276
1898,132104,274145
1899,115194,247490
1900,162136,317765
1901,115596,254231
1902,132749,280334
1903,129327,278197
1904,138508,292435
1905,143241,309868
1906,144072,313440
1907,158588,337433
1908,166368,354531
1909,176868,368097
1910,208523,419526
1911,241395,441817
1912,451458,586711
1913,536246,654911
1914,683321,796615
1915,880944,1023881
1916,923263,1085715
1917,959321,1123701
1918,1048686,1202367
1919,1015333,1174653
1920,1100845,1244039
1921,1137928,1279700
1922,1125289,1247535
1923,1132343,1252429
1924,1169053,1295720
1925,1151452,1263067
1926,1145493,1230154
1927,1161823,1236370
1928,1141139,1195430
1929,1107467,1157504
1930,1129409,1166388
1931,1069483,1103602
1932,1074244,1106182
1933,1019944,1045898
1934,1061700,1082199
1935,1069364,1086702
1936,1064145,1077450
1937,1093453,1101746
1938,1136275,1141349
1939,1133132,1134028
1940,1186018,1181237
1941,1254633,1245838
1942,1408054,1390382
1943,1454300,1435263
1944,1388952,1366456
1945,1371304,1346064
1946,1650221,1612845
1947,1857369,1817815
1948,1782584,1742599
1949,1801862,1755492
1950,1819391,1758732
1951,1912132,1847295
1952,1973312,1902035
1953,2000962,1929043
1954,2068771,1990998
1955,2088801,2004393
1956,2144578,2059324
1957,2187578,2097512
1958,2153163,2065055
1959,2166365,2078518
1960,2166043,2079922
1961,2155959,2076304
1962,2102270,2027035
1963,2065345,1987948
1964,2027518,1957243
1965,1895471,1827404
1966,1818082,1755605
1967,1779945,1716705
1968,1776337,1709555
1969,1830273,1762753
1970,1905890,1831973
1971,1818559,1752416
1972,1674843,1612525
1973,1614331,1554077
1974,1630859,1566162
1975,1623146,1560766
1976,1633323,1571928
1977,1709926,1644958
1978,1709108,1643811
1979,1791797,1723123
1980,1854890,1780360
1981,1862278,1788139
1982,1886935,1813865
1983,1863052,1789223
1984,1876017,1802722
1985,1923588,1845753
1986,1920717,1844872
1987,1949260,1873696
1988,2001087,1922429
1989,2095312,1991833
1990,2150985,2053848
1991,2119088,2033020
1992,2098502,2004237
1993,2064883,1971108
1994,2037863,1948955
1995,2010917,1921147
1996,2003219,1916774
1997,1997199,1908700
1998,2026988,1937876
1999,2038121,1946028
2000,2087172,1994676
2001,2067193,1979793
2002,2065323,1973757
2003,2099842,2005167
2004,2111945,2016339
2005,2125748,2027865
2006,2190481,2088675
2007,2213001,2114380
2008,2177987,2080467
2009,2118374,2022399
2010,2051486,1957645
2011,2027805,1934276
2012,2024813,1935222
2013,2015372,1922536
2014,2042503,1949966
2015,2035632,1942833
2016,2008947,1920613
